Ticker,First Dividend Quarter
SPFI,2019-Q3
OCGN,2019-Q3
ALRS,2019-Q3
SBAC,2019-Q3
VCTR,2019-Q3
BSVN,2019-Q3
RILYP,2019-Q4
MCBS,2019-Q4
SBLK,2019-Q4
TRIP,2019-Q4
HBT,2020-Q1
REYN,2020-Q1
RRBI,2020-Q1
COFS,2020-Q1
CCAP,2020-Q1
CARE,2020-Q1
OSW,2020-Q1
PVBC,2020-Q2
RAND,2020-Q2
RMBI,2020-Q2
TRMD,2020-Q2
JOYY,2020-Q3
HONE,2020-Q3
PAVS,2020-Q3
PINC,2020-Q3
IGIC,2020-Q3
WMG,2020-Q3
NFE,2020-Q3
ISSC,2020-Q3
HQI,2020-Q3
RPRX,2020-Q3
MRBK,2020-Q3
SWBI,2020-Q3
SQFT,2020-Q4
BSY,2020-Q4
AMKR,2020-Q4
EA,2020-Q4
STEP,2021-Q1
TRIN,2021-Q1
EBC,2021-Q1
GCMG,2021-Q1
SSRM,2021-Q1
AEIS,2021-Q1
CHRD,2021-Q1
PAX,2021-Q2
PPSI,2021-Q2
IAC,2021-Q2
AFCG,2021-Q2
VTRS,2021-Q2
EXE,2021-Q2
VABK,2021-Q2
ONEW,2021-Q2
MU,2021-Q3
PECO,2021-Q3
HPK,2021-Q3
FSBC,2021-Q3
EXPI,2021-Q3
PWP,2021-Q3
FATBB,2021-Q3
XBIT,2021-Q3
CBNK,2021-Q3
VBNK,2021-Q3
WFCF,2021-Q3
NECB,2021-Q3
VINP,2021-Q3
TBLD,2021-Q3
OBT,2021-Q3
MGYR,2021-Q4
ACT,2021-Q4
GIPR,2021-Q4
WULF,2021-Q4
TTSH,2021-Q4
TRS,2021-Q4
SSBK,2021-Q4
SEAT,2021-Q4
CNXC,2021-Q4
RWAY,2021-Q4
LKQ,2021-Q4
QFIN,2021-Q4
FNWD,2021-Q4
DNUT,2021-Q4
LAUR,2021-Q4
OP,2022-Q1
MNSB,2022-Q1
REFI,2022-Q1
METC,2022-Q1
ZYXI,2022-Q1
CEG,2022-Q1
BCML,2022-Q1
ASTL,2022-Q1
FCNCO,2022-Q1
ASO,2022-Q1
BAFN,2022-Q1
BTCS,2022-Q1
ARKO,2022-Q1
EPSN,2022-Q1
CXDO,2022-Q1
IRMD,2022-Q1
ESQ,2022-Q2
TPG,2022-Q2
CZFS,2022-Q2
BNTX,2022-Q2
USEG,2022-Q2
CHX,2022-Q2
SIGA,2022-Q2
EWCZ,2022-Q2
LFVN,2022-Q2
HNVR,2022-Q2
JD,2022-Q2
JMSB,2022-Q2
EMBC,2022-Q3
KARO,2022-Q3
AIRS,2022-Q3
VOXR,2022-Q4
LNKB,2022-Q4
ELTK,2022-Q4
FIP,2022-Q4
CLPS,2022-Q4
LOCO,2022-Q4
KRT,2022-Q4
XYLO,2022-Q4
TCBS,2023-Q1
CRCT,2023-Q1
LIN,2023-Q1
CARM,2023-Q1
ESOA,2023-Q1
LAKE,2023-Q1
MCRI,2023-Q1
USEA,2023-Q1
BGM,2023-Q1
OPRA,2023-Q1
IMMR,2023-Q1
IRDM,2023-Q1
WB,2023-Q2
PRPL,2023-Q2
BHRB,2023-Q2
GEHC,2023-Q2
MKTW,2023-Q2
VCIG,2023-Q2
NSSC,2023-Q2
TRI,2023-Q3
SYT,2023-Q3
XP,2023-Q3
ATAT,2023-Q3
LIEN,2023-Q3
METCB,2023-Q3
LX,2023-Q3
JFIN,2023-Q3
PRDO,2023-Q3
FA,2023-Q3
MEIP,2023-Q4
MEGL,2023-Q4
TRML,2023-Q4
TRVG,2023-Q4
BZ,2023-Q4
CAR,2023-Q4
BKNG,2024-Q1
JL,2024-Q1
LENZ,2024-Q1
USCB,2024-Q1
PLTK,2024-Q1
SCNX,2024-Q1
HUBG,2024-Q1
META,2024-Q1
ARHS,2024-Q1
KSPI,2024-Q2
WLFC,2024-Q2
SY,2024-Q2
GOOG,2024-Q2
HTCR,2024-Q2
GOOGL,2024-Q2
CMPO,2024-Q2
FER,2024-Q2
DWSN,2024-Q2
CURI,2024-Q2
INTR,2024-Q2
EM,2024-Q2
